Product_id,Review,Review_rating
69, Value for money, 5.0 out of 5 stars
69, Nice product, 4.0 out of 5 stars
69, Great footware, 4.0 out of 5 stars
69, Value of money, 5.0 out of 5 stars
69, Nice product, 4.0 out of 5 stars
69, Colour issue, 1.0 out of 5 stars
70,Average products,3.0 out of 5 stars
70, Size description, 3.0 out of 5 stars
70, Size different and good quality, 4.0 out of 5 stars
70, Value for Money, 4.0 out of 5 stars
70, Product is justified the price, 4.0 out of 5 stars
70, The best thing to buy at a low price, 5.0 out of 5 stars
70, Slightly disappointed, 2.0 out of 5 stars
70, Good product, 4.0 out of 5 stars
70, Size is different between combo shoes, 3.0 out of 5 stars
70, Product good on this price but you felt problems like colour issues and size, 3.0 out of 5 stars
71,Not good for feet,3.0 out of 5 stars
71, Nice shoe reasonable price, 5.0 out of 5 stars
71, Good, 5.0 out of 5 stars
72,Good sandak for rainy seasons,5.0 out of 5 stars
72, Air passing, 4.0 out of 5 stars
73,Very nice,5.0 out of 5 stars
73, Quality, 5.0 out of 5 stars
73, Nice shoes, 4.0 out of 5 stars
73, Not good but not bad, 3.0 out of 5 stars
73, Good product, 5.0 out of 5 stars
73, Seems like poor quality of shoe lookwise it is okay, 1.0 out of 5 stars
73, Hum bol rahe toh le lo, 5.0 out of 5 stars
73, cheap quality, 1.0 out of 5 stars
73, Awesome Quality, 5.0 out of 5 stars
73, Kraasa is a perfect outfit, 5.0 out of 5 stars
74,Quality of product,1.0 out of 5 stars
74, Nice, 5.0 out of 5 stars
75,Comfortable and worth the buy,5.0 out of 5 stars
75, Best Running shoes, 4.0 out of 5 stars
75, VERY UNCOMFORTABLE, 1.0 out of 5 stars
75, Cheap Material, 1.0 out of 5 stars
75, Shoes are dirty., 1.0 out of 5 stars
75, GoldStar Men's Running Shoes, 5.0 out of 5 stars
75, Nice, 5.0 out of 5 stars
75, Good, 4.0 out of 5 stars
75, Loss money, 5.0 out of 5 stars
